1.1,29,385.8,126.6,2600,97.87,29
1.3,29,385.9,126.3,2606,100.12,29
1.1,29,385.7,126.5,2599,100.26,29
1.2,29,385.4,126.4,2591,126.82,29
1.1,29,385.6,126.4,2607,149.11,29
1.1,29,385.6,126.4,2610,149.88,29
1,29,385.7,126.5,2610,150.12,29
1,29,385.5,126.4,2595,149.53,29
1,29,385.6,126.3,2595,149.62,29
1.3,29,385.5,126.3,2599,150.22,29
1.3,29,385.6,126.2,2609,150.38,29
1.4,29,385.6,126.1,2609,150.89,29
1.4,29,385.2,126.3,2609,150.89,29
3.6,29,385.3,126.2,2625,150.37,29
3.5,29,385.2,124.7,2638,150.03,29
4.4,29,385.6,126.3,2619,150.75,29
1.4,29,385.5,126.2,2604,150.66,29
1.2,29,387.1,127.7,2588,150.23,29
0,29,387.4,127.5,1785,149.97,29
0,29,388,127.5,1782,150.31,29
0,29,388.8,127.5,1775,150.31,29
0,29,388.7,127.8,1781,150.4,29
0,29,389.4,127.5,1778,150.74,29
0.5,29,389.9,127.5,1789,182.9,29
0.3,29,389.9,127.1,1795,199.93,29
0.3,29,390.7,127.1,1797,199.85,29
0.2,29,390.6,127.5,1806,200.08,29
0,29,390.7,127.5,1808,200.35,29
0,29,390.8,127.4,1802,200.44,29
0.1,29,390.7,127.4,1800,200.36,29
0.2,29,391.2,127.2,1802,200.53,29
0.6,29,391.6,127,1800,200.44,29
0.8,29,391.4,126.6,1797,200.2,29
0.6,29,391.6,126.8,1795,200.36,29
0.7,29,392.4,126.8,1797,201.7,29
0.6,29,392.9,126.7,1799,246.19,29
14.7,29,392.3,126.8,1904,290.07,29
16.8,29,387.6,113.3,2889,33.65,29
16.9,29,386.1,107.8,3065,32.66,29
17.2,29,386,106.7,2963,33.71,29
20.6,29,385.8,102.7,3030,32.31,29
20.1,29,385.8,100.9,2959,19.43,29
16,29,385.8,105.9,3040,34.07,29
15.2,29,385.6,106.4,2979,34.25,29
14.7,29,385.8,106.5,2928,34.28,29
15.6,29,386.1,117.5,2922,34.29,29
10.2,29,386.6,116.9,2682,34.04,29
10.2,29,386.4,112.5,2838,34.17,29
9.4,29,386.3,113.1,2812,34.48,29
10.6,29,386.2,110.8,2823,34.31,29
11.1,29,386.1,110.3,2861,34.86,29
13.2,29,386.1,109.9,2846,39.2,29
13.8,29,386.1,107.3,2843,39.12,29
13.9,29,386.2,107.2,2877,39.16,29
13.6,29,386.4,107.2,2844,39.21,29
13.9,29,386.1,107.2,2884,38.96,29
13.8,29,386.1,107.6,2916,39.23,29
12.8,29,385.9,108.9,2927,39.03,29
13,29,386.4,108.1,2862,38.99,29
13,29,385.8,108,2831,39.1,29
13,29,386.1,108.2,2823,39.18,29
13.4,29,386,111,2858,39.35,29
12.7,29,386.1,111.8,2828,39.16,29
8.7,29,386.2,113.8,2743,39.08,29
7.9,29,385.7,113.5,2744,38.86,29
7,29,385.4,114.5,2719,39.39,29
8.1,29,385.5,114.3,2745,38.79,29
7,29,384.8,114.2,2727,39.07,29
7.5,29,385.3,117.8,2704,39.28,29
7.3,29,385,117.1,2750,39.05,29
8.2,29,385.6,113.6,2749,38.86,29
9.3,29,391.2,124.6,2697,37.77,29
10.1,29,387,118.3,2698,38.4,29
10.1,29,384.9,118,2758,38.44,29
9.8,29,383.6,118.4,2736,38.46,29
9.7,29,382.4,118.5,2733,38.31,29
12.9,29,380.9,118.7,2727,38.46,29
14,29,379.2,115.1,2755,38.03,29
13.2,29,378.4,118.5,2758,38.45,29
9.6,29,377.9,119,2722,38.42,29
10.1,29,375.6,118.4,2722,38.35,29
10.4,29,374.2,118.7,2735,38.44,29
9.6,29,372.8,118.7,2736,38.49,29
10.3,29,372.1,118.2,2726,38.44,29
10.2,29,371.1,118,2764,38.37,29
10,29,370.6,117.9,2719,38.31,29
10.6,29,370,118.2,2715,38.37,29
10.5,29,368.4,118.4,2711,38.28,29
9.3,29,367.4,118.6,2697,38.3,29
9.3,29,366,118.7,2734,38.49,29
9.4,29,365,119,2687,38.44,29
9,29,364.3,119.1,2678,38.09,29
9,29,362.5,118.9,2670,38.39,29
10,29,362.2,118.8,2688,38.3,29
9.1,29,361.9,119,2671,38.32,29
10.2,29,360.9,118.4,2697,38.48,29
9.8,29,359.4,118.4,2689,38.4,29
10.4,29,358.9,118.5,2738,38.37,29
10.2,29,357.6,118.2,2724,38.3,29
10.1,29,357,118.9,2719,38.41,29
10.2,29,355.9,118.1,2717,38.34,29
10.4,29,355,118.4,2733,38.48,29
11.6,29,354.6,118.3,2736,38.31,29
11.7,29,353.8,117.6,2782,43.54,29
11.9,29,353.4,117.4,2785,43.84,29
10.9,29,352.5,117.8,2762,43.81,29
10.7,29,352.3,117.9,2735,44,29
12.3,29,351.3,116.7,2781,43.79,29
14.1,29,350.4,116,2781,44.05,29
15.2,29,349.6,114.2,2743,44.01,29
15.5,29,347.8,116.8,2739,44.17,29
12.6,29,347.2,116.5,2739,43.98,29
11.1,29,346.4,117.1,2730,43.95,29
10.9,29,346.1,117.1,2717,43.82,29
11.1,29,343.9,116.9,2718,43.71,29
11.5,29,342.6,116.8,2728,43.82,29
10.8,29,342.9,117.3,2722,43.82,29
5,30,352.4,125.3,2482,15.08,30
11.5,30,350.7,121.9,2728,43.74,30
12.4,30,343.8,116.6,2743,44,30
12.4,30,342.6,116.5,2740,44,30
11.3,30,341.3,117.4,2774,43.99,30
11,30,340.3,117.9,2761,44.16,30
10.6,30,339.3,117.8,2728,44.06,30
11.8,30,338.7,117.8,2763,43.84,30
