1.1,29,385.8,126.6,2600,97.87
1.3,29,385.9,126.3,2606,100.12
1.1,29,385.7,126.5,2599,100.26
1.2,29,385.4,126.4,2591,126.82
1.1,29,385.6,126.4,2607,149.11
1.1,29,385.6,126.4,2610,149.88
1,29,385.7,126.5,2610,150.12
1,29,385.5,126.4,2595,149.53
1,29,385.6,126.3,2595,149.62
1.3,29,385.5,126.3,2599,150.22
1.3,29,385.6,126.2,2609,150.38
1.4,29,385.6,126.1,2609,150.89
1.4,29,385.2,126.3,2609,150.89
3.6,29,385.3,126.2,2625,150.37
3.5,29,385.2,124.7,2638,150.03
4.4,29,385.6,126.3,2619,150.75
1.4,29,385.5,126.2,2604,150.66
1.2,29,387.1,127.7,2588,150.23
0,29,387.4,127.5,1785,149.97
0,29,388,127.5,1782,150.31
0,29,388.8,127.5,1775,150.31
0,29,388.7,127.8,1781,150.4
0,29,389.4,127.5,1778,150.74
0.5,29,389.9,127.5,1789,182.9
0.3,29,389.9,127.1,1795,199.93
0.3,29,390.7,127.1,1797,199.85
0.2,29,390.6,127.5,1806,200.08
0,29,390.7,127.5,1808,200.35
0,29,390.8,127.4,1802,200.44
0.1,29,390.7,127.4,1800,200.36
0.2,29,391.2,127.2,1802,200.53
0.6,29,391.6,127,1800,200.44
0.8,29,391.4,126.6,1797,200.2
0.6,29,391.6,126.8,1795,200.36
0.7,29,392.4,126.8,1797,201.7
0.6,29,392.9,126.7,1799,246.19
14.7,29,392.3,126.8,1904,290.07
16.8,29,387.6,113.3,2889,33.65
16.9,29,386.1,107.8,3065,32.66
17.2,29,386,106.7,2963,33.71
20.6,29,385.8,102.7,3030,32.31
20.1,29,385.8,100.9,2959,19.43
16,29,385.8,105.9,3040,34.07
15.2,29,385.6,106.4,2979,34.25
14.7,29,385.8,106.5,2928,34.28
15.6,29,386.1,117.5,2922,34.29
10.2,29,386.6,116.9,2682,34.04
10.2,29,386.4,112.5,2838,34.17
9.4,29,386.3,113.1,2812,34.48
10.6,29,386.2,110.8,2823,34.31
11.1,29,386.1,110.3,2861,34.86
13.2,29,386.1,109.9,2846,39.2
13.8,29,386.1,107.3,2843,39.12
13.9,29,386.2,107.2,2877,39.16
13.6,29,386.4,107.2,2844,39.21
13.9,29,386.1,107.2,2884,38.96
13.8,29,386.1,107.6,2916,39.23
12.8,29,385.9,108.9,2927,39.03
13,29,386.4,108.1,2862,38.99
13,29,385.8,108,2831,39.1
13,29,386.1,108.2,2823,39.18
13.4,29,386,111,2858,39.35
12.7,29,386.1,111.8,2828,39.16
8.7,29,386.2,113.8,2743,39.08
7.9,29,385.7,113.5,2744,38.86
7,29,385.4,114.5,2719,39.39
8.1,29,385.5,114.3,2745,38.79
7,29,384.8,114.2,2727,39.07
7.5,29,385.3,117.8,2704,39.28
7.3,29,385,117.1,2750,39.05
8.2,29,385.6,113.6,2749,38.86
9.3,29,391.2,124.6,2697,37.77
10.1,29,387,118.3,2698,38.4
10.1,29,384.9,118,2758,38.44
9.8,29,383.6,118.4,2736,38.46
9.7,29,382.4,118.5,2733,38.31
12.9,29,380.9,118.7,2727,38.46
14,29,379.2,115.1,2755,38.03
13.2,29,378.4,118.5,2758,38.45
9.6,29,377.9,119,2722,38.42
10.1,29,375.6,118.4,2722,38.35
10.4,29,374.2,118.7,2735,38.44
9.6,29,372.8,118.7,2736,38.49
10.3,29,372.1,118.2,2726,38.44
10.2,29,371.1,118,2764,38.37
10,29,370.6,117.9,2719,38.31
10.6,29,370,118.2,2715,38.37
10.5,29,368.4,118.4,2711,38.28
9.3,29,367.4,118.6,2697,38.3
9.3,29,366,118.7,2734,38.49
9.4,29,365,119,2687,38.44
9,29,364.3,119.1,2678,38.09
9,29,362.5,118.9,2670,38.39
10,29,362.2,118.8,2688,38.3
9.1,29,361.9,119,2671,38.32
10.2,29,360.9,118.4,2697,38.48
9.8,29,359.4,118.4,2689,38.4
10.4,29,358.9,118.5,2738,38.37
10.2,29,357.6,118.2,2724,38.3
10.1,29,357,118.9,2719,38.41
10.2,29,355.9,118.1,2717,38.34
10.4,29,355,118.4,2733,38.48
